news_id,pm_id
07-11-016_pressassociation,21517920
15-11-017_bbcnews,22071967
05-11-001_bbcnews,21224062
05-11-010_sun,21427373
05-11-010_express,21427373
05-11-010_independent,21427373
05-11-010_scotsman,21427373
05-11-010_bbcnews,21427373
05-11-010_metro,21427373
16-11-005_sun,22047557
16-11-005_mirror,22047557
16-11-005_express,22047557
16-11-005_bbcnews,22047557
16-11-005_metro,22047557
11-11-006_telegraph,21900315
08-11-014_mirror,21474517
05-11-030_independent,22037309
05-11-030_scotsman,22037309
05-11-030_bbcnews,22037309
05-11-030_metro,22037309
15-11-006_dailymail,21423189
15-11-006_sun,21423189
15-11-006_mirror,21423189
15-11-006_express,21423189
15-11-006_telegraph,21423189
15-11-006_bbcnews,21423189
13-11-009_telegraph,21467206
